filepath,condition
u2os_ht_nls_7.48ms/region_0_7ms_trajs.csv,HaloTag-NLS
u2os_ht_nls_7.48ms/region_10_7ms_trajs.csv,HaloTag-NLS
u2os_ht_nls_7.48ms/region_1_7ms_trajs.csv,HaloTag-NLS
u2os_ht_nls_7.48ms/region_2_7ms_trajs.csv,HaloTag-NLS
u2os_ht_nls_7.48ms/region_3_7ms_trajs.csv,HaloTag-NLS
u2os_ht_nls_7.48ms/region_4_7ms_trajs.csv,HaloTag-NLS
u2os_ht_nls_7.48ms/region_5_7ms_trajs.csv,HaloTag-NLS
u2os_ht_nls_7.48ms/region_6_7ms_trajs.csv,HaloTag-NLS
u2os_ht_nls_7.48ms/region_7_7ms_trajs.csv,HaloTag-NLS
u2os_ht_nls_7.48ms/region_8_7ms_trajs.csv,HaloTag-NLS
u2os_ht_nls_7.48ms/region_9_7ms_trajs.csv,HaloTag-NLS
u2os_rara_ht_7.48ms/region_0_7ms_trajs.csv,RARA-HaloTag
u2os_rara_ht_7.48ms/region_10_7ms_trajs.csv,RARA-HaloTag
u2os_rara_ht_7.48ms/region_1_7ms_trajs.csv,RARA-HaloTag
u2os_rara_ht_7.48ms/region_2_7ms_trajs.csv,RARA-HaloTag
u2os_rara_ht_7.48ms/region_3_7ms_trajs.csv,RARA-HaloTag
u2os_rara_ht_7.48ms/region_4_7ms_trajs.csv,RARA-HaloTag
u2os_rara_ht_7.48ms/region_5_7ms_trajs.csv,RARA-HaloTag
u2os_rara_ht_7.48ms/region_6_7ms_trajs.csv,RARA-HaloTag
u2os_rara_ht_7.48ms/region_7_7ms_trajs.csv,RARA-HaloTag
u2os_rara_ht_7.48ms/region_8_7ms_trajs.csv,RARA-HaloTag
u2os_rara_ht_7.48ms/region_9_7ms_trajs.csv,RARA-HaloTag
